Question,Answer
What is the Runtime of Mononoke-hime?,"The Runtime of Mononoke-hime is 134. Summary: On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
What is the Genre of Once Upon a Time in America?,"Once Upon a Time in America is of Crime, Drama genre. Summary: A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
Who is the Director of Once Upon a Time in America?,"The Director of Once Upon a Time in America is Sergio Leone. Summary: A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
What is the IMDB Rating of Once Upon a Time in America?,"The IMDB Rating of Once Upon a Time in America is 8.4. Summary: A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
What is the Runtime of Once Upon a Time in America?,"The Runtime of Once Upon a Time in America is 229. Summary: A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
What is the Genre of Raiders of the Lost Ark?,"Raiders of the Lost Ark is of Action, Adventure genre. Summary: In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
Who is the Director of Raiders of the Lost Ark?,"The Director of Raiders of the Lost Ark is Steven Spielberg. Summary: In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
What is the IMDB Rating of Raiders of the Lost Ark?,"The IMDB Rating of Raiders of the Lost Ark is 8.4. Summary: In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
What is the Runtime of Raiders of the Lost Ark?,"The Runtime of Raiders of the Lost Ark is 115. Summary: In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
What is the Genre of The Shining?,"The Shining is of Drama, Horror genre. Summary: A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
Who is the Director of The Shining?,"The Director of The Shining is Stanley Kubrick. Summary: A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
What is the IMDB Rating of The Shining?,"The IMDB Rating of The Shining is 8.4. Summary: A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
What is the Runtime of The Shining?,"The Runtime of The Shining is 146. Summary: A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
What is the Genre of Apocalypse Now?,"Apocalypse Now is of Drama, Mystery, War genre. Summary: A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god."
Who is the Director of Apocalypse Now?,The Director of Apocalypse Now is Francis Ford Coppola. Summary: A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
What is the IMDB Rating of Apocalypse Now?,The IMDB Rating of Apocalypse Now is 8.4. Summary: A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
What is the Runtime of Apocalypse Now?,The Runtime of Apocalypse Now is 147. Summary: A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
What is the Genre of Alien?,"Alien is of Horror, Sci-Fi genre. Summary: After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
Who is the Director of Alien?,"The Director of Alien is Ridley Scott. Summary: After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
What is the IMDB Rating of Alien?,"The IMDB Rating of Alien is 8.4. Summary: After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
What is the Runtime of Alien?,"The Runtime of Alien is 117. Summary: After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
What is the Genre of Anand?,"Anand is of Drama, Musical genre. Summary: The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
Who is the Director of Anand?,"The Director of Anand is Hrishikesh Mukherjee. Summary: The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
What is the IMDB Rating of Anand?,"The IMDB Rating of Anand is 8.4. Summary: The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
What is the Runtime of Anand?,"The Runtime of Anand is 122. Summary: The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
What is the Genre of Tengoku to jigoku?,"Tengoku to jigoku is of Crime, Drama, Mystery genre. Summary: An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom."
Who is the Director of Tengoku to jigoku?,The Director of Tengoku to jigoku is Akira Kurosawa. Summary: An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.
What is the IMDB Rating of Tengoku to jigoku?,The IMDB Rating of Tengoku to jigoku is 8.4. Summary: An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.
What is the Runtime of Tengoku to jigoku?,The Runtime of Tengoku to jigoku is 143. Summary: An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.
What is the Genre of Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb?,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb is of Comedy genre. Summary: An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
Who is the Director of Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb?,The Director of Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb is Stanley Kubrick. Summary: An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
What is the IMDB Rating of Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb?,The IMDB Rating of Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb is 8.4. Summary: An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
What is the Runtime of Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb?,The Runtime of Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb is 95. Summary: An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
What is the Genre of Witness for the Prosecution?,"Witness for the Prosecution is of Crime, Drama, Mystery genre. Summary: A veteran British barrister must defend his client in a murder trial that has surprise after surprise."
Who is the Director of Witness for the Prosecution?,The Director of Witness for the Prosecution is Billy Wilder. Summary: A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
What is the IMDB Rating of Witness for the Prosecution?,The IMDB Rating of Witness for the Prosecution is 8.4. Summary: A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
What is the Runtime of Witness for the Prosecution?,The Runtime of Witness for the Prosecution is 116. Summary: A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
What is the Genre of Paths of Glory?,"Paths of Glory is of Drama, War genre. Summary: After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
Who is the Director of Paths of Glory?,"The Director of Paths of Glory is Stanley Kubrick. Summary: After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
What is the IMDB Rating of Paths of Glory?,"The IMDB Rating of Paths of Glory is 8.4. Summary: After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
What is the Runtime of Paths of Glory?,"The Runtime of Paths of Glory is 88. Summary: After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
What is the Genre of Rear Window?,"Rear Window is of Mystery, Thriller genre. Summary: A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder."
Who is the Director of Rear Window?,The Director of Rear Window is Alfred Hitchcock. Summary: A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
What is the IMDB Rating of Rear Window?,The IMDB Rating of Rear Window is 8.4. Summary: A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
What is the Runtime of Rear Window?,The Runtime of Rear Window is 112. Summary: A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
What is the Genre of Sunset Blvd.?,"Sunset Blvd. is of Drama, Film-Noir genre. Summary: A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return."
Who is the Director of Sunset Blvd.?,The Director of Sunset Blvd. is Billy Wilder. Summary: A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
What is the IMDB Rating of Sunset Blvd.?,The IMDB Rating of Sunset Blvd. is 8.4. Summary: A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
What is the Runtime of Sunset Blvd.?,The Runtime of Sunset Blvd. is 110. Summary: A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
What is the Genre of The Great Dictator?,"The Great Dictator is of Comedy, Drama, War genre. Summary: Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime."
Who is the Director of The Great Dictator?,The Director of The Great Dictator is Charles Chaplin. Summary: Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
What is the IMDB Rating of The Great Dictator?,The IMDB Rating of The Great Dictator is 8.4. Summary: Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
What is the Runtime of The Great Dictator?,The Runtime of The Great Dictator is 125. Summary: Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
What is the Genre of 1917?,"1917 is of Drama, Thriller, War genre. Summary: April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Who is the Director of 1917?,"The Director of 1917 is Sam Mendes. Summary: April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
What is the IMDB Rating of 1917?,"The IMDB Rating of 1917 is 8.3. Summary: April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
What is the Runtime of 1917?,"The Runtime of 1917 is 119. Summary: April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
What is the Genre of Tumbbad?,"Tumbbad is of Drama, Fantasy, Horror genre. Summary: A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born."
Who is the Director of Tumbbad?,The Director of Tumbbad is Rahi Anil Barve. Summary: A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
What is the IMDB Rating of Tumbbad?,The IMDB Rating of Tumbbad is 8.3. Summary: A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
What is the Runtime of Tumbbad?,The Runtime of Tumbbad is 104. Summary: A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
What is the Genre of Andhadhun?,"Andhadhun is of Crime, Drama, Music genre. Summary: A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
Who is the Director of Andhadhun?,"The Director of Andhadhun is Sriram Raghavan. Summary: A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
What is the IMDB Rating of Andhadhun?,"The IMDB Rating of Andhadhun is 8.3. Summary: A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
What is the Runtime of Andhadhun?,"The Runtime of Andhadhun is 139. Summary: A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
What is the Genre of Drishyam?,"Drishyam is of Crime, Drama, Thriller genre. Summary: A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime."
Who is the Director of Drishyam?,The Director of Drishyam is Jeethu Joseph. Summary: A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
What is the IMDB Rating of Drishyam?,The IMDB Rating of Drishyam is 8.3. Summary: A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
What is the Runtime of Drishyam?,The Runtime of Drishyam is 160. Summary: A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
What is the Genre of Jagten?,"Jagten is of Drama genre. Summary: A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Who is the Director of Jagten?,"The Director of Jagten is Thomas Vinterberg. Summary: A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
What is the IMDB Rating of Jagten?,"The IMDB Rating of Jagten is 8.3. Summary: A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
What is the Runtime of Jagten?,"The Runtime of Jagten is 115. Summary: A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
What is the Genre of Jodaeiye Nader az Simin?,Jodaeiye Nader az Simin is of Drama genre. Summary: A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
Who is the Director of Jodaeiye Nader az Simin?,The Director of Jodaeiye Nader az Simin is Asghar Farhadi. Summary: A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
What is the IMDB Rating of Jodaeiye Nader az Simin?,The IMDB Rating of Jodaeiye Nader az Simin is 8.3. Summary: A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
What is the Runtime of Jodaeiye Nader az Simin?,The Runtime of Jodaeiye Nader az Simin is 123. Summary: A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
What is the Genre of Incendies?,"Incendies is of Drama, Mystery, War genre. Summary: Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes."
Who is the Director of Incendies?,The Director of Incendies is Denis Villeneuve. Summary: Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
What is the IMDB Rating of Incendies?,The IMDB Rating of Incendies is 8.3. Summary: Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
What is the Runtime of Incendies?,The Runtime of Incendies is 131. Summary: Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
What is the Genre of Miracle in cell NO.7?,Miracle in cell NO.7 is of Drama genre. Summary: A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).
Who is the Director of Miracle in cell NO.7?,The Director of Miracle in cell NO.7 is Mehmet Ada Öztekin. Summary: A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).
What is the IMDB Rating of Miracle in cell NO.7?,The IMDB Rating of Miracle in cell NO.7 is 8.3. Summary: A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).
What is the Runtime of Miracle in cell NO.7?,The Runtime of Miracle in cell NO.7 is 132. Summary: A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).
What is the Genre of Babam ve Oglum?,"Babam ve Oglum is of Drama, Family genre. Summary: The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980."
Who is the Director of Babam ve Oglum?,The Director of Babam ve Oglum is Çagan Irmak. Summary: The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
What is the IMDB Rating of Babam ve Oglum?,The IMDB Rating of Babam ve Oglum is 8.3. Summary: The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
What is the Runtime of Babam ve Oglum?,The Runtime of Babam ve Oglum is 112. Summary: The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
What is the Genre of Inglourious Basterds?,"Inglourious Basterds is of Adventure, Drama, War genre. Summary: In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Who is the Director of Inglourious Basterds?,"The Director of Inglourious Basterds is Quentin Tarantino. Summary: In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
What is the IMDB Rating of Inglourious Basterds?,"The IMDB Rating of Inglourious Basterds is 8.3. Summary: In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
What is the Runtime of Inglourious Basterds?,"The Runtime of Inglourious Basterds is 153. Summary: In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
What is the Genre of Eternal Sunshine of the Spotless Mind?,"Eternal Sunshine of the Spotless Mind is of Drama, Romance, Sci-Fi genre. Summary: When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
Who is the Director of Eternal Sunshine of the Spotless Mind?,"The Director of Eternal Sunshine of the Spotless Mind is Michel Gondry. Summary: When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
What is the IMDB Rating of Eternal Sunshine of the Spotless Mind?,"The IMDB Rating of Eternal Sunshine of the Spotless Mind is 8.3. Summary: When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
What is the Runtime of Eternal Sunshine of the Spotless Mind?,"The Runtime of Eternal Sunshine of the Spotless Mind is 108. Summary: When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
What is the Genre of Amélie?,"Amélie is of Comedy, Romance genre. Summary: Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
Who is the Director of Amélie?,"The Director of Amélie is Jean-Pierre Jeunet. Summary: Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
What is the IMDB Rating of Amélie?,"The IMDB Rating of Amélie is 8.3. Summary: Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
What is the Runtime of Amélie?,"The Runtime of Amélie is 122. Summary: Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
What is the Genre of Snatch?,"Snatch is of Comedy, Crime genre. Summary: Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Who is the Director of Snatch?,"The Director of Snatch is Guy Ritchie. Summary: Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
What is the IMDB Rating of Snatch?,"The IMDB Rating of Snatch is 8.3. Summary: Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
What is the Runtime of Snatch?,"The Runtime of Snatch is 104. Summary: Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
What is the Genre of Requiem for a Dream?,Requiem for a Dream is of Drama genre. Summary: The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Who is the Director of Requiem for a Dream?,The Director of Requiem for a Dream is Darren Aronofsky. Summary: The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
What is the IMDB Rating of Requiem for a Dream?,The IMDB Rating of Requiem for a Dream is 8.3. Summary: The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
What is the Runtime of Requiem for a Dream?,The Runtime of Requiem for a Dream is 102. Summary: The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
What is the Genre of American Beauty?,American Beauty is of Drama genre. Summary: A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
Who is the Director of American Beauty?,The Director of American Beauty is Sam Mendes. Summary: A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
What is the IMDB Rating of American Beauty?,The IMDB Rating of American Beauty is 8.3. Summary: A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
What is the Runtime of American Beauty?,The Runtime of American Beauty is 122. Summary: A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
What is the Genre of Good Will Hunting?,"Good Will Hunting is of Drama, Romance genre. Summary: Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Who is the Director of Good Will Hunting?,"The Director of Good Will Hunting is Gus Van Sant. Summary: Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
What is the IMDB Rating of Good Will Hunting?,"The IMDB Rating of Good Will Hunting is 8.3. Summary: Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
What is the Runtime of Good Will Hunting?,"The Runtime of Good Will Hunting is 126. Summary: Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
What is the Genre of Bacheha-Ye aseman?,"Bacheha-Ye aseman is of Drama, Family, Sport genre. Summary: After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
Who is the Director of Bacheha-Ye aseman?,"The Director of Bacheha-Ye aseman is Majid Majidi. Summary: After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
What is the IMDB Rating of Bacheha-Ye aseman?,"The IMDB Rating of Bacheha-Ye aseman is 8.3. Summary: After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
What is the Runtime of Bacheha-Ye aseman?,"The Runtime of Bacheha-Ye aseman is 89. Summary: After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
What is the Genre of Toy Story?,"Toy Story is of Animation, Adventure, Comedy genre. Summary: A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room."
Who is the Director of Toy Story?,The Director of Toy Story is John Lasseter. Summary: A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
What is the IMDB Rating of Toy Story?,The IMDB Rating of Toy Story is 8.3. Summary: A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
What is the Runtime of Toy Story?,The Runtime of Toy Story is 81. Summary: A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
What is the Genre of Braveheart?,"Braveheart is of Biography, Drama, History genre. Summary: Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England."
Who is the Director of Braveheart?,The Director of Braveheart is Mel Gibson. Summary: Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
What is the IMDB Rating of Braveheart?,The IMDB Rating of Braveheart is 8.3. Summary: Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
What is the Runtime of Braveheart?,The Runtime of Braveheart is 178. Summary: Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
What is the Genre of Reservoir Dogs?,"Reservoir Dogs is of Crime, Drama, Thriller genre. Summary: When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Who is the Director of Reservoir Dogs?,"The Director of Reservoir Dogs is Quentin Tarantino. Summary: When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
What is the IMDB Rating of Reservoir Dogs?,"The IMDB Rating of Reservoir Dogs is 8.3. Summary: When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
What is the Runtime of Reservoir Dogs?,"The Runtime of Reservoir Dogs is 99. Summary: When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
What is the Genre of Full Metal Jacket?,"Full Metal Jacket is of Drama, War genre. Summary: A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue."
Who is the Director of Full Metal Jacket?,The Director of Full Metal Jacket is Stanley Kubrick. Summary: A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
What is the IMDB Rating of Full Metal Jacket?,The IMDB Rating of Full Metal Jacket is 8.3. Summary: A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
What is the Runtime of Full Metal Jacket?,The Runtime of Full Metal Jacket is 116. Summary: A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
What is the Genre of Idi i smotri?,"Idi i smotri is of Drama, Thriller, War genre. Summary: After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Who is the Director of Idi i smotri?,"The Director of Idi i smotri is Elem Klimov. Summary: After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
What is the IMDB Rating of Idi i smotri?,"The IMDB Rating of Idi i smotri is 8.3. Summary: After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
What is the Runtime of Idi i smotri?,"The Runtime of Idi i smotri is 142. Summary: After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
What is the Genre of Aliens?,"Aliens is of Action, Adventure, Sci-Fi genre. Summary: Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
Who is the Director of Aliens?,"The Director of Aliens is James Cameron. Summary: Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
What is the IMDB Rating of Aliens?,"The IMDB Rating of Aliens is 8.3. Summary: Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
What is the Runtime of Aliens?,"The Runtime of Aliens is 137. Summary: Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
What is the Genre of Amadeus?,"Amadeus is of Biography, Drama, History genre. Summary: The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
Who is the Director of Amadeus?,"The Director of Amadeus is Milos Forman. Summary: The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
